Enew,Eold
139.834,32
129.589,139.834
147.712,129.589
133.6,147.712
123.004,133.6
146.598,123.004
142.276,146.598
167.13,142.276
187.183,167.13
155.714,187.183
173.05,155.714
166.283,173.05
220.558,166.283
156.007,220.558
155.816,156.007
148.814,155.816
136.381,148.814
175.794,136.381
184.455,175.794
170.923,184.455
183.206,170.923
161.882,183.206
147.632,161.882
147.632,147.632
175.101,147.632
190.704,175.101
134.933,190.704
138.342,134.933
172.684,138.342
143.105,172.684
175.063,143.105
200.944,175.063
156.803,200.944
123.846,156.803
139.966,123.846
195.442,139.966
155.364,195.442
166.684,155.364
187.098,166.684
161.769,187.098
157.849,161.769
120.058,157.849
154.968,120.058
126.276,154.968
129.199,126.276
184.944,129.199
177.714,184.944
158.15,177.714
192.52,158.15
139.961,192.52
159.296,139.961
142.603,159.296
132.343,142.603
165.279,132.343
139.671,165.279
161.268,139.671
176.687,161.268
131.711,176.687
140.556,131.711
146.851,140.556
180.291,146.851
148.326,180.291
142.55,148.326
149.11,142.55
168.692,149.11
151.107,168.692
160.538,151.107
130.489,160.538
152.564,130.489
180.714,152.564
173.147,180.714
164.749,173.147
128.072,164.749
122.838,128.072
176.268,122.838
117.116,176.268
120.644,117.116
173.604,120.644
157.047,173.604
172.192,157.047
136.822,172.192
130.567,136.822
135.967,130.567
158.282,135.967
144.159,158.282
198.916,144.159
160.304,198.916
132.753,160.304
157.985,132.753
192.896,157.985
181.103,192.896
137.22,181.103
174.433,137.22
163.261,174.433
129.405,163.261
144.438,129.405
118.111,144.438
133.818,118.111
144.114,133.818
119.556,144.114
147.812,119.556
112.947,147.812
124.657,112.947
138.253,124.657
197.038,138.253
155.577,197.038
128.299,155.577
142.804,128.299
124.998,142.804
181.489,124.998
178.185,181.489
188.331,178.185
183.465,188.331
142.522,183.465
182.413,142.522
166.629,182.413
138.091,166.629
161.349,138.091
177.862,161.349
145.809,177.862
168.111,145.809
189.775,168.111
168.819,189.775
178.835,168.819
200.792,178.835
183.47,200.792
178.468,183.47
174.203,178.468
190.659,174.203
164.235,190.659
174.515,164.235
152.113,174.515
139.128,152.113
141.654,139.128
149.025,141.654
160.823,149.025
164.069,160.823
186.863,164.069
159.881,186.863
142.636,159.881
208.58,142.636
173.737,208.58
148.467,173.737
152.141,148.467
