Enew,deltaH,exp(deltaH),M
408.453,0,1,-0.506054
408.453,0,1,-0.506054
408.453,0,1,-0.506054
408.453,0,1,-0.506054
408.453,0,1,-0.506054
408.453,0,1,-0.506054
408.453,0,1,-0.506054
408.453,0,1,-0.506054
408.453,0,1,-0.506054
408.453,0,1,-0.506054
408.453,0,1,-0.506054
408.453,0,1,-0.506054
408.453,0,1,-0.506054
408.453,0,1,-0.506054
408.453,0,1,-0.506054
408.453,0,1,-0.506054
408.453,0,1,-0.506054
408.453,0,1,-0.506054
408.453,0,1,-0.506054
408.453,0,1,-0.506054
408.453,0,1,-0.506054
408.453,0,1,-0.506054
408.453,0,1,-0.506054
400.19,-8.26298,3877.63,-0.427201
400.19,0,1,-0.427201
400.19,0,1,-0.427201
400.19,0,1,-0.427201
400.19,0,1,-0.427201
400.19,0,1,-0.427201
400.19,0,1,-0.427201
400.19,0,1,-0.427201
400.19,0,1,-0.427201
400.19,0,1,-0.427201
400.19,0,1,-0.427201
400.19,0,1,-0.427201
400.19,0,1,-0.427201
400.19,0,1,-0.427201
400.19,0,1,-0.427201
400.19,0,1,-0.427201
400.19,0,1,-0.427201
400.19,0,1,-0.427201
400.19,0,1,-0.427201
400.19,0,1,-0.427201
400.19,0,1,-0.427201
400.19,0,1,-0.427201
400.19,0,1,-0.427201
400.19,0,1,-0.427201
400.19,0,1,-0.427201
400.19,0,1,-0.427201
400.19,0,1,-0.427201
400.19,0,1,-0.427201
400.19,0,1,-0.427201
400.19,0,1,-0.427201
400.19,0,1,-0.427201
400.19,0,1,-0.427201
400.19,0,1,-0.427201
400.19,0,1,-0.427201
400.19,0,1,-0.427201
400.19,0,1,-0.427201
400.19,0,1,-0.427201
400.19,0,1,-0.427201
400.19,0,1,-0.427201
400.19,0,1,-0.427201
400.19,0,1,-0.427201
400.19,0,1,-0.427201
400.19,0,1,-0.427201
400.19,0,1,-0.427201
400.19,0,1,-0.427201
400.19,0,1,-0.427201
400.19,0,1,-0.427201
400.19,0,1,-0.427201
400.19,0,1,-0.427201
400.19,0,1,-0.427201
400.19,0,1,-0.427201
400.19,0,1,-0.427201
400.19,0,1,-0.427201
400.19,0,1,-0.427201
400.19,0,1,-0.427201
400.19,0,1,-0.427201
400.19,0,1,-0.427201
400.19,0,1,-0.427201
400.19,0,1,-0.427201
400.19,0,1,-0.427201
400.19,0,1,-0.427201
400.19,0,1,-0.427201
400.19,0,1,-0.427201
400.19,0,1,-0.427201
400.19,0,1,-0.427201
400.19,0,1,-0.427201
400.19,0,1,-0.427201
400.19,0,1,-0.427201
400.19,0,1,-0.427201
400.19,0,1,-0.427201
400.19,0,1,-0.427201
400.19,0,1,-0.427201
400.19,0,1,-0.427201
400.19,0,1,-0.427201
400.19,0,1,-0.427201
